y,gpt,Class
186.295,186,2
169.567,160,2
89.094,89.11,1
346.467,300,2
310.687,297.68,1
102.177,90,2
261.119,288,1
154.212,154.21,2
90.191,103.208,1
116.204,104.22,1
142.201,142.19,1
238.287,210,2
146.111,130,2
180.156,182.179,2
402.487,320,2
290.447,340,2
180.163,180,2
367.816,380,2
88.15,102.177,2
136.114,120,2
88.106,90.15,2
212.252,250,2
166.223,228.29,2
214.25,227.28,1
333.266,335.282,2
88.106,88.104,1
122.167,122.167,2
278.335,250,2
326.437,430,2
89.094,103.15,2
175,176.01,1
154.253,154.244,1
299.288,261.25,1
188.23,236.266,1
144.214,158.27,1
136.15,136.15,2
68.119,74,2
252.731,251.71,1
393.854,396.89,1
338.795,309.78,1
289.545,285,2
70.135,84.162,2
88.15,102.172,1
268.36,307.45,1
214.062,214.07,1
134.222,118.2,2
106.124,106.121,2
238.159,200,2
184.242,170,2
182.179,198.222,2
257.547,291.992,2
134.222,114,2
172.209,150,2
202.256,228.286,2
288.255,286.156,2
183.169,180,2
96.944,96.943,2
79.102,79.111,1
372.808,350,2
88.15,88.15,2
267.306,265.288,1
346.339,275,2
154.125,142.07,2
64.515,75,1
230.909,280,2
102.177,116.2,2
235.906,235.906,1
360.882,430,2
368.369,356.38,1
312.118,309.69,1
153.137,153.18,2
409.782,380.913,2
88.106,88.106,2
200.322,200.312,1
327.123,290,2
466.479,450,2
139.11,140.13,1
504.438,342.297,2
54.092,54.088,1
333.604,300,2
137.142,137.15,1
353.49,393.854,2
114.232,114.224,1
314.425,360.45,2
588.562,450,2
128.558,129.57,1
258.104,240.2,2
331.202,290,2
102.133,116.174,2
84.933,84.932,2
122.167,122.14,2
291.992,289.982,2
70.135,68.13,1
84.933,82.91,1
197.448,200,2
588.562,400,2
214.294,213.31,1
150.177,150,2
179.101,150,2
32.042,28.01,1
,,8.6664
,,27.59390769
,,0.049997451
,,0.101066972
